NACA 0009
 1.0000000     0.0009450
 0.9951630     0.0014525
 0.9864483     0.0023592
 0.9753417     0.0035009
 0.9624023     0.0048117
 0.9479675     0.0062502
 0.9322742     0.0077864
 0.9155036     0.0093969
 0.8978010     0.0110630
 0.8792877     0.0127690
 0.8600677     0.0145019
 0.8402316     0.0162501
 0.8198600     0.0180039
 0.7990253     0.0197543
 0.7777934     0.0214935
 0.7562247     0.0232143
 0.7343750     0.0249100
 0.7122961     0.0265742
 0.6900366     0.0282011
 0.6676419     0.0297847
 0.6451552     0.0313196
 0.6226172     0.0328002
 0.6000665     0.0342212
 0.5775400     0.0355770
 0.5550732     0.0368626
 0.5326996     0.0380725
 0.5104518     0.0392016
 0.4883610     0.0402448
 0.4664574     0.0411972
 0.4447699     0.0420539
 0.4233268     0.0428103
 0.4021552     0.0434618
 0.3812816     0.0440044
 0.3607316     0.0444342
 0.3405302     0.0447475
 0.3207016     0.0449412
 0.3012695     0.0450126
 0.2822570     0.0449593
 0.2636866     0.0447794
 0.2455803     0.0444715
 0.2279596     0.0440347
 0.2108454     0.0434688
 0.1942585     0.0427738
 0.1782190     0.0419504
 0.1627466     0.0409998
 0.1478608     0.0399236
 0.1335805     0.0387240
 0.1199246     0.0374036
 0.1069113     0.0359653
 0.0945587     0.0344124
 0.0828846     0.0327486
 0.0719063     0.0309778
 0.0616412     0.0291040
 0.0521061     0.0271315
 0.0433176     0.0250643
 0.0352922     0.0229067
 0.0280460     0.0206629
 0.0215951     0.0183367
 0.0159551     0.0159317
 0.0111416     0.0134513
 0.0071698     0.0108983
 0.0040549     0.0082752
 0.0018119     0.0055838
 0.0004554     0.0028252
 0.0000000     0.0000000
 0.0004554    -0.0028252
 0.0018119    -0.0055838
 0.0040549    -0.0082752
 0.0071698    -0.0108983
 0.0111416    -0.0134513
 0.0159551    -0.0159317
 0.0215951    -0.0183367
 0.0280460    -0.0206629
 0.0352922    -0.0229067
 0.0433176    -0.0250643
 0.0521061    -0.0271315
 0.0616412    -0.0291040
 0.0719063    -0.0309778
 0.0828846    -0.0327486
 0.0945587    -0.0344124
 0.1069113    -0.0359653
 0.1199246    -0.0374036
 0.1335805    -0.0387240
 0.1478608    -0.0399236
 0.1627466    -0.0409998
 0.1782190    -0.0419504
 0.1942585    -0.0427738
 0.2108454    -0.0434688
 0.2279596    -0.0440347
 0.2455803    -0.0444715
 0.2636866    -0.0447794
 0.2822570    -0.0449593
 0.3012695    -0.0450126
 0.3207016    -0.0449412
 0.3405302    -0.0447475
 0.3607316    -0.0444342
 0.3812816    -0.0440044
 0.4021552    -0.0434618
 0.4233268    -0.0428103
 0.4447699    -0.0420539
 0.4664574    -0.0411972
 0.4883610    -0.0402448
 0.5104518    -0.0392016
 0.5326996    -0.0380725
 0.5550732    -0.0368626
 0.5775400    -0.0355770
 0.6000665    -0.0342212
 0.6226172    -0.0328002
 0.6451552    -0.0313196
 0.6676419    -0.0297847
 0.6900366    -0.0282011
 0.7122961    -0.0265742
 0.7343750    -0.0249100
 0.7562247    -0.0232143
 0.7777934    -0.0214935
 0.7990253    -0.0197543
 0.8198600    -0.0180039
 0.8402316    -0.0162501
 0.8600677    -0.0145019
 0.8792877    -0.0127690
 0.8978010    -0.0110630
 0.9155036    -0.0093969
 0.9322742    -0.0077864
 0.9479675    -0.0062502
 0.9624023    -0.0048117
 0.9753417    -0.0035009
 0.9864483    -0.0023592
 0.9951630    -0.0014525
 1.0000000    -0.0009450
